,identifier,year,citations,num_docs,h-index
0,36913081500,2015,335,5,3
1,7402886108,2015,13353,78,50
2,7102425637,2015,2374,70,24
3,7103367956,2015,1978,57,20
4,14048288900,2015,1480,12,11
5,18633766100,2015,3606,19,17
6,7401592846,2015,16033,192,60
7,7102886487,2015,3416,298,28
8,7103305178,2015,5187,170,43
9,55497994300,2015,73,5,3
10,36884536000,2015,98,12,7
11,7202502381,2015,290,15,7
12,55892232300,2015,339,19,10
13,57211343206,2015,0,0,0
14,35228379400,2015,91,8,6
15,7006281660,2015,8037,46,36
16,6602192383,2015,1193,37,16
17,55547128490,2015,1244,110,19
18,6507047155,2015,1904,17,15
19,7006740018,2015,0,2,0
20,7102089902,2015,1571,48,19
21,7004056211,2015,2837,54,23
22,55974627800,2015,3901,57,31
23,6603951618,2015,5122,24,19
24,6701392501,2015,4362,79,28
25,7102955788,2015,9689,106,39
26,7102541507,2015,1,2,1
27,12776424400,2015,2945,23,18
28,6603645611,2015,195,17,7
29,8967584200,2015,4816,22,20
30,6601972298,2015,749,21,11
31,56544124000,2015,0,0,0
32,57188750869,2015,0,0,0
33,57205569132,2015,217,14,7
34,57216390448,2015,0,0,0
35,7102777189,2015,663,22,11
36,6602826990,2015,5930,29,25
37,57195554866,2015,0,0,0
38,8048591900,2015,2777,56,29
39,57218218516,2015,0,0,0
40,35323981000,2015,287,9,7
41,6602935589,2015,3609,18,17
42,6603792210,2015,2793,67,25
43,7003441111,2015,11351,114,45
44,6602272889,2015,2066,38,15
45,35422484100,2015,6868,90,33
46,8524162900,2015,379,12,8
47,6701861604,2015,261,8,6
48,7004410022,2015,6800,68,43
49,24463358700,2015,14,3,2
50,6603191591,2015,4170,31,20
51,6602312774,2015,737,18,13
52,55340159800,2015,78,5,3
53,6504515851,2015,1842,18,16
54,7003263580,2015,18677,105,51
55,23982055200,2015,132,7,4
56,7102490813,2015,4853,20,16
57,7006194798,2015,870,70,16
58,6504205536,2015,28,5,3
59,56260191600,2015,12285,79,41
60,23028331000,2015,96,5,4
61,7102224712,2015,1663,80,23
62,57197312288,2015,337,29,10
63,6603779078,2015,7263,31,19
64,7003483273,2015,40886,201,86
65,7006423146,2015,25987,250,79
66,8325183500,2015,257,8,6
67,7006834393,2015,3767,52,18
68,6602527350,2015,203,10,4
69,55463835400,2015,1438,38,23
70,7202992548,2015,981,26,12
71,56275962900,2015,6119,48,32
72,7202181658,2015,5130,86,38
73,6603197065,2015,147,7,5
74,24331937300,2015,6,5,2
75,26968147500,2015,87,27,6
76,35117725800,2015,101,7,3
77,7003394778,2015,521,30,13
78,7103009572,2015,1209,20,15
79,7003688582,2015,28707,132,73
80,7005686587,2015,2315,107,26
81,6603061257,2015,5564,40,25
82,7005790571,2015,10522,66,34
83,6701569106,2015,268,57,8
84,55526749000,2015,95,4,4
85,6603387961,2015,1045,35,15
86,7006448803,2015,1475,65,24
87,35095969400,2015,24,14,2
88,6603618593,2015,1853,27,16
89,6602082346,2015,202,22,8
90,6507893904,2015,188,11,5
91,13402793500,2015,1683,14,13
92,7005593972,2015,7562,44,34
93,7006121563,2015,4516,112,39
94,15823337300,2015,34,71,3
95,6507599307,2015,630,23,11
96,6506127702,2015,1650,47,17
97,13806030600,2015,175,4,4
98,23768480900,2015,1156,21,14
99,7003731682,2015,4127,63,33
100,6603271202,2015,4384,40,27
101,6505885011,2015,1254,17,14
102,6603150991,2015,1499,29,15
103,56513799000,2015,0,0,0
104,12807278400,2015,894,38,12
105,35230440400,2015,3301,80,26
106,7005771861,2015,5362,107,35
107,6505800197,2015,20,13,2
108,23392547200,2015,1152,33,16
109,55795986400,2015,890,4,4
110,23483177100,2015,465,47,13
111,16678685100,2015,635,22,12
112,6603005927,2015,22016,43,25
113,8544896700,2015,469,12,11
114,7403735746,2015,3168,70,30
115,55824983800,2015,28,3,2
116,6701579737,2015,3590,68,28
117,8947863300,2015,14,16,2
118,7003978379,2015,2179,51,24
119,56069282800,2015,1,1,1
120,7202434234,2015,5418,33,22
121,7406738737,2015,1187,30,12
122,16232292000,2015,580,18,10
123,7004612674,2015,3569,44,23
124,6603471571,2015,2160,25,18
125,56248732200,2015,3322,40,21
126,7501740294,2015,581,9,8
127,8422274300,2015,26,5,3
128,23988916700,2015,247,12,7
129,7003527328,2015,8082,86,37
130,6603869154,2015,2568,27,20
131,6603160014,2015,2058,53,18
132,6603347234,2015,3333,46,24
133,7103073117,2015,5456,25,21
134,25621696600,2015,162,19,6
135,56876003500,2015,8276,42,21
136,56478640200,2015,6183,147,45
137,7102737699,2015,38514,192,89
138,6505807247,2015,3681,55,20
139,7003911528,2015,7475,92,42
140,7202122235,2015,27977,90,48
141,56271139400,2015,5052,23,22
142,7005674677,2015,9920,258,51
143,6602461312,2015,3480,68,32
144,57185748000,2015,0,0,0
145,7402750873,2015,21446,58,45
146,7103404192,2015,2735,72,30
147,6603611569,2015,2623,35,19
148,56450132900,2015,2023,51,27
149,55331975600,2015,0,1,0
150,7004986548,2015,1705,30,16
151,7103223500,2015,2700,28,17
152,7006069611,2015,956,82,15
153,57217189622,2015,0,0,0
154,7004652016,2015,1249,66,18
155,6602136903,2015,13178,51,40
156,6603324668,2015,2818,37,18
157,7004979366,2015,713,16,13
158,57647547500,2015,0,0,0
159,26428395600,2015,90,2,2
160,43461195000,2015,28,7,3
161,57468891100,2015,0,0,0
162,7102808944,2015,145,19,8
163,6602230529,2015,1319,30,18
164,6603591416,2015,156,7,5
165,7004241060,2015,9063,45,31
166,56214762600,2015,785,17,13
167,6602810539,2015,989,34,15
168,8987174800,2015,734,26,16
169,7103039821,2015,4330,19,13
170,6508273988,2015,70,6,5
171,55464900100,2015,848,22,13
172,16408303600,2015,67,5,4
173,7401576349,2015,6583,73,37
174,6603299075,2015,1946,46,23
175,6602460854,2015,2375,20,15
176,34771275000,2015,6,1,1
177,6603813018,2015,9008,51,32
178,7402226219,2015,2562,102,25
179,6507014698,2015,105,8,5
180,7403741162,2015,484,31,12
181,7004210206,2015,1034,36,17
182,55791067700,2015,1,1,1
183,7201874408,2015,7302,89,46
184,7007037635,2015,4472,45,24
185,7006983991,2015,6265,20,20
186,6603611620,2015,416,27,11
187,26768040500,2015,152,8,4
188,39461068000,2015,6,6,1
189,6603660517,2015,2416,33,23
190,57193535703,2015,0,0,0
191,57223941590,2015,6451,25,21
192,57226521646,2015,0,3,0
193,57225859505,2015,7,1,1
194,57190238645,2015,0,1,0
195,55806232000,2015,0,0,0
196,36936975200,2015,26243,29,19
197,24479789700,2015,153,6,4
198,35775352400,2015,3066,86,30
199,56264918500,2015,7,2,1
200,6602561675,2015,942,18,15
201,7201963120,2015,7410,57,34
202,57190809555,2015,26,1,1
203,7003892124,2015,762,27,15
204,56009422500,2015,6664,26,23
205,6506900936,2015,123,13,6
206,7102451262,2015,11150,185,39
207,6506416154,2015,523,53,13
208,6603951476,2015,9015,48,37
209,7102933565,2015,6476,133,39
210,35774259400,2015,601,19,13
211,7005822717,2015,14949,197,69
212,23392531700,2015,1054,113,17
213,36437467200,2015,1688,31,16
214,55756479100,2015,402,3,3
215,9038441000,2015,6080,101,48
216,6505848642,2015,1680,21,15
217,8142428000,2015,1217,11,11
218,57189926952,2015,0,0,0
219,35291870800,2015,1988,5,5
220,6603457527,2015,3342,26,22
221,7007064663,2015,2853,76,25
222,7103197968,2015,6773,80,41
223,7101664262,2015,10094,78,46
224,6701574963,2015,25,5,2
225,7004816726,2015,53005,463,126
226,6603457527,2015,3342,26,22
227,23485435000,2015,219,17,7
228,10440371800,2015,925,13,10
229,7201841055,2015,4216,43,28
230,25644089000,2015,1585,26,15
231,6507548092,2015,87,14,5
232,6602224916,2015,1277,42,17
233,7006313177,2015,240,24,9
234,7003666422,2015,3371,120,36
235,6603925322,2015,900,27,14
236,16067253100,2015,808,13,10
237,55956994900,2015,2,2,1
238,7801570788,2015,944,18,13
239,36195769700,2015,417,8,8
240,13409765200,2015,779,38,16
241,6602890608,2015,368,28,12
242,22955553400,2015,2512,33,19
243,57219463733,2015,263,20,10
244,6602917409,2015,379,10,6
245,57215580908,2015,0,0,0
246,57212309865,2015,0,0,0
247,7004920934,2015,1515,113,17
248,7004230169,2015,619,45,17
249,57210401624,2015,0,1,0
250,24295725400,2015,11840,119,50
251,7402920213,2015,397,28,10
252,15319498400,2015,161,34,6
253,35291662500,2015,1968,16,13
254,35963222300,2015,6952,58,35
255,6602627649,2015,591,115,12
256,7004909341,2015,4016,131,40
257,6603027295,2015,4973,24,21
258,7801592928,2015,1,2,1
259,16302425500,2015,344,10,7
260,36855016400,2015,4,6,1
261,57197742276,2015,172,17,7
262,57203285766,2015,4505,43,27
263,7102763125,2015,4494,59,30
264,57046875000,2015,4,6,1
265,7102763125,2015,4494,59,30
266,35350444400,2015,32307,255,58
267,36948375900,2015,932,13,11
268,7004203407,2015,18079,120,59
269,35913102000,2015,17,2,2
270,6603409344,2015,2319,17,15
271,7005063270,2015,6429,92,33
272,7102951338,2015,7463,46,30
273,56240427600,2015,6633,33,27
274,7004143763,2015,4023,53,24
275,16066560800,2015,678,14,11
276,57213366293,2015,588,51,13
277,7403912861,2015,4959,79,37
278,7201980342,2015,2948,33,21
279,6603752410,2015,4929,160,34
280,35613530500,2015,2,2,1
