identifier,name
6503885664,"Aguiló-Pérez, Eugeni"
6504205536,"Kalderimis, Daniel R."
6504205536,"Kalderimis, Daniel R."
6504338642,"Makenete, Andrew L."
6504636510,"Navathe, Amol S."
6505807247,"Mirrlees, James A."
6505814876,"Schoar, Antoinette"
6505831055,"Lamoreaux, Naomi R."
6505836825,"Mignon, Valérie"
6505848642,"Doepke, Matthias"
6505885011,"Bandi, Federico M."
6506022459,"Visco, Ignazio"
6506078937,"Cogneau, Denis"
6506091149,"Shaviro, Daniel N."
6506127702,"Sheshinski, Eytan"
6506148454,"Grenville, Stephen"
6506190008,"Bhorat, Haroon"
6506326066,"Edlund, Lena"
6506380387,"Kuersteiner, Guido M."
6506399081,"Aliber, Robert Z."
6506399081,"Aliber, Robert Z."
6506399081,"Aliber, Robert Z."
6506416154,"Daunton, Martin J."
6506478178,"Portes, Jonathan"
6506675090,"Machethe, Charles L."
6506675090,"Machethe, Charles L."
6506908001,"Aliber, Michael"
6507010163,"Storesletten, Kjetil"
6507057421,"Matzkin, Rosa L."
6507057421,"Matzkin, Rosa L."
6507077872,"Trebbi, Francesco"
6507119123,"Hakimian, Hassan"
6507119123,"Hakimian, Hassan"
6507261967,"Kumhof, Michael"
6507263998,"Macklem, R. Tiff"
6507267085,"Bitler, Marianne P."
6507446798,"Filiztekin, Alpay"
6507538831,"Barthold, Thomas A."
6507548092,"Milgate, Murray"
6507639810,"van der Klaauw, Wilbert"
6507714856,"van den Belt, Marjan"
6507745169,"Abdel-Khalek, Gouda"
6507831783,"Yah, Limchong"
6507831783,"Yah, Limchong"
6507847070,"Chernozhukov, Victor"
6507847070,"Chernozhukov, Victor"
6507847070,"Chernozhukov, Victor"
6507847070,"Chernozhukov, Victor"
6507914219,"Aguirregabiria, Víctor"
6507970709,"Torero, Máximo"
6507995936,"Lefgren, Lars J."
6508013761,"Galiani, Sebastián"
6508026665,"Gentzkow, Matthew A."
6508026665,"Gentzkow, Matthew A."
6508036395,"Lòpez-Calva, Luis Felipe"
6508117216,"Rojas-Suárez, Liliana"
6508188073,"McLarney, Cam"
6508217853,"Dynarski, Susan M."
6508227011,"Skrzypacz, Andrzej"
6508248729,"Botticini, Maristella"
6508250327,"Fofack, Hippolyte"
6508325777,"Whitacre, Brian E."
6508332520,"Rogerson, William P."
6508380055,"Toder, Eric J."
6508384428,"Hirtle, Beverly J."
6601955048,"Wolfers, Justin J."
6601955048,"Wolfers, Justin J."
6601956386,"Fishback, Price V."
6601965693,"Meghir, Costas"
6601978023,"Hommes, Cars"
6601998047,"Arifovic, Jasmina"
6602075696,"den Haan, Wouter J."
6602082346,"Mutari, Ellen"
6602087698,"Elmendorf, Douglas W."
6602099638,"Altshuler, Rosanne"
6602103851,"Maskin, Eric S."
6602103851,"Maskin, Eric S."
6602105760,"Frijters, Paul"
6602118284,"Romer, Paul M."
6602118284,"Romer, Paul M."
6602122031,"Ker, Alan P."
6602150743,"Broadberry, Stephen N."
6602163460,"Ashraf, Nava"
6602173942,"Gyimah-Brempong, Kwabena"
6602192383,"Cabrales, Antonio"
6602205596,"Duflo, Esther"
6602205596,"Duflo, Esther"
6602205611,"Adda, Jérôme"
6602205611,"Adda, Jérôme"
6602214084,"Kleven, Henrik Jacobsen"
6602230529,"Spier, Kathryn E."
6602242326,"Wantchékon, Leonard"
6602267759,"Solon, Gary"
6602272889,"Horioka, Charles Yuji"
6602277868,"Madrian, Brigitte C."
6602302926,"Trefler, Daniel"
6602311785,"Loayza, Norman V."
6602311785,"Loayza, Norman V."
6602318992,"Nyarko, Yaw"
6602318992,"Nyarko, Yaw"
6602328527,"Salanié, Bernard"
6602346419,"La Ferrara, Eliana"
6602346419,"La Ferrara, Eliana"
6602346419,"La Ferrara, Eliana"
6602363531,"Pavcnik, Nina"
6602374002,"Eisenbeis, Robert A."
6602380605,"Keyman, Fuat"
6602393727,"Repullo, Rafael"
6602401224,"Arlen, Jennifer H."
6602412638,"Schennach, Susanne M."
6602414825,"Altonji, Joseph G."
6602429118,"Rigobón, Roberto"
6602445228,"Pencavel, John H."
6602460854,"Alfaro, Laura"
6602462154,"Graddy, Kathryn"
6602464988,"Lakdawalla, Darius N."
6602478999,"Wanhill, Stephen R.C."
6602485476,"Rochaix, Lise"
6602487974,"Ndikumana, Léonce"
6602526741,"Köszegi, Botond"
6602530940,"Fleurbaey, Marc"
6602530940,"Fleurbaey, Marc"
6602536677,"Kozicki, Sharon"
6602558896,"Wolpin, Kenneth I."
6602561675,"Siniscalchi, Marciano M."
6602566696,"Ghatak, Maitreesh"
6602596875,"Gavaghan, Colin"
6602597836,"Hoxby, Caroline Minter"
6602608379,"von Cramon-Taubadel, Stephan"
6602615395,"Dewatripont, Mathias"
6602621049,"Chesher, Andrew"
6602621049,"Chesher, Andrew"
6602634280,"Autor, David H."
6602634280,"Autor, David H."
6602634280,"Autor, David H."
6602655685,"Kranton, Rachel E."
6602681599,"Rukuni, Mandivamba"
6602681812,"Kortum, Samuel S."
6602701273,"Boucekkine, Raouf"
6602701792,"Régibeau, Pierre M."
6602701792,"Régibeau, Pierre M."
6602724008,"Startz, Richard"
6602734837,"Puga, Diego"
6602745022,"Fowlie, Meredith L."
6602745022,"Fowlie, Meredith L."
6602748229,"Honkapohja, Seppo"
6602748229,"Honkapohja, Seppo"
6602762025,"Marimon, Ramon"
6602767160,"Somanathan, Eswaran"
6602775883,"Flandreau, Marc"
6602802885,"Mykland, Per Aslak"
6602820213,"Libecap, Gary D."
6602821318,"Ellickson, Robert C."
6602821318,"Ellickson, Robert C."
6602826183,"Pamuk, Şevket"
6602826990,"Sacerdote, Bruce I."
6602844653,"Sentana, Enrique"
6602876591,"Tella, Rafael Di"
6602883088,"Abbring, Jaap H."
6602884539,"Schorfheide, Frank"
6602884539,"Schorfheide, Frank"
6602894825,"Rockoff, Hugh T."
6602905204,"Mokyr, Joel"
6602905204,"Mokyr, Joel"
6602917409,"Sanguinetti, Pablo"
6602930341,"Loury, Glenn Cartman"
6602934421,"Ó Gráda, Cormac"
6602989968,"Ríos-Rull, José V́ictor"
6603005701,"Ruge-Murciá, Francisco J."
6603005927,"Akerlof, George A."
6603005927,"Akerlof, George A."
6603027295,"Klemperer, Paul D."
6603027295,"Klemperer, Paul D."
6603038831,"Lochner, Lance J."
6603047433,"Schuermann, Til"
6603061257,"Lazear, Edward P."
6603072064,"Newey, Whitney K."
6603073465,"Offer, Avner"
6603074966,"Jullien, Bruno"
6603076581,"Osberg, Lars S."
6603077822,"Esfahani, Hadi Salehi"
6603087984,"al-Qudsi, Sulayman S."
6603092072,"Lemieux, Thomas"
6603092072,"Lemieux, Thomas"
6603150991,"Kydland, Finn E."
6603150991,"Kydland, Finn E."
6603150991,"Kydland, Finn E."
6603160014,"Knetsch, Jack L."
6603164741,"Ghilarducci, Teresa"
6603176350,"Ncube, Mthuli"
6603191591,"Udry, Christopher R."
6603191591,"Udry, Christopher R."
6603249168,"Olivetti, Claudia"
6603258903,"Niederle, Muriel"
6603258903,"Niederle, Muriel"
6603271202,"Zilibotti, Fabrizio"
6603275600,"Piketty, Thomas"
6603277860,"Mullainathan, Sendhil"
6603277860,"Mullainathan, Sendhil"
6603299075,"Gangadharan, Lata"
6603299075,"Gangadharan, Lata"
6603314839,"Shimer, Robert L."
6603314839,"Shimer, Robert L."
6603314839,"Shimer, Robert L."
6603324668,"Zechner, Josef"
6603347234,"Vigdor, Jacob L."
6603371066,"Muellbauer, John N.J."
6603387961,"Smeral, Egon"
6603388314,"Tuckson, Reed V."
6603408964,"Morduch, Jonathan J."
6603409600,"Pendakur, Krishna"
6603416658,"Smets, Sonja J.L."
6603426256,"Kamihigashi, Takashi"
6603430106,"Gallini, Nancy T."
6603430106,"Gallini, Nancy T."
6603439301,"Pissarides, Christopher A."
6603449987,"Jagtiani, Julapa A."
6603457527,"Whinston, Michael D."
6603461380,"Gurmu, Shiferaw"
6603471571,"Hoynes, Hilary Williamson"
6603471571,"Hoynes, Hilary Williamson"
6603471571,"Hoynes, Hilary Williamson"
6603471571,"Hoynes, Hilary Williamson"
6603509495,"Uche, Chibuike Ugochukwu"
6603536540,"Chiappori, Pierre André"
6603546331,"Varian, Hal R."
6603546331,"Varian, Hal R."
6603548058,"Plug, Erik J.S."
6603564052,"Tangermann, Stefan"
6603564129,"Gang, Fan"
6603591416,"Woodford, Keith B."
6603597166,"Ledyard, John O."
6603611569,"Abowd, John M."
6603618593,"Tamer, Elie"
6603618593,"Tamer, Elie"
6603618593,"Tamer, Elie"
6603635323,"Vink, Nick"
6603635323,"Vink, Nick"
6603635323,"Vink, Nick"
6603635875,"Wolfram, Catherine D."
6603635875,"Wolfram, Catherine D."
6603635875,"Wolfram, Catherine D."
6603640097,"Worswick, Christopher"
6603645611,"Bental, Benjamin"
6603660517,"Pistaferri, Luigi"
6603666462,"Rubinfeld, Daniel L."
6603666612,"Teräsvirta, Timo"
6603672640,"Bryceson, Deborah Fahy"
6603691303,"Athey, Susan"
6603691303,"Athey, Susan"
6603722641,"Carstens, Agustín G."
6603752410,"Kanbur, Ravi"
6603752410,"Kanbur, Ravi"
6603769823,"Shavell, Steven"
6603775793,"Nielsen-Gammon, John W."
6603779078,"Quah, Danny"
6603779078,"Quah, Danny"
6603782012,"Bordo, Michael David"
6603782012,"Bordo, Michael David"
